n_messages,runs,mean_rate_percent,std_rate_percent,ci95_low_percent,ci95_high_percent,mean_original_size_bytes,mean_compressed_size_bytes,std_compressed_size_bytes,prob_fit_222_bytes
62,100,70.617892,0.318865,70.555395,70.680390,1074.080000,315.560000,3.358451,0.000000
63,100,70.861808,0.313364,70.800388,70.923227,1092.430000,318.290000,3.316000,0.000000
64,100,70.913226,0.308545,70.852751,70.973701,1109.170000,322.600000,2.964436,0.000000
65,100,71.065180,0.271942,71.011880,71.118481,1127.500000,326.220000,3.135267,0.000000
66,100,71.201369,0.314312,71.139764,71.262974,1140.850000,328.530000,3.804450,0.000000
67,100,71.439155,0.325639,71.375330,71.502981,1159.600000,331.170000,3.863988,0.000000
68,100,71.600640,0.312405,71.539409,71.661872,1180.700000,335.290000,3.838389,0.000000
69,100,71.683627,0.290747,71.626641,71.740614,1196.170000,338.690000,3.208873,0.000000
70,100,71.865483,0.342087,71.798434,71.932532,1213.420000,341.350000,3.554411,0.000000
71,100,72.018847,0.268261,71.966267,72.071426,1229.380000,343.980000,3.402257,0.000000
72,100,72.177963,0.320807,72.115085,72.240841,1249.650000,347.650000,3.468109,0.000000
73,100,72.269576,0.260515,72.218515,72.320637,1265.500000,350.910000,3.423316,0.000000
74,100,72.357032,0.295459,72.299122,72.414942,1282.930000,354.620000,3.380813,0.000000
75,100,72.476881,0.274353,72.423108,72.530654,1300.640000,357.950000,2.910708,0.000000
76,100,72.651119,0.274180,72.597379,72.704858,1319.530000,360.850000,2.786602,0.000000
77,100,72.713318,0.260461,72.662267,72.764368,1333.230000,363.770000,3.203076,0.000000
78,100,72.836697,0.238689,72.789914,72.883480,1350.300000,366.770000,2.912373,0.000000
79,100,72.978232,0.242190,72.930763,73.025701,1370.960000,370.440000,3.251480,0.000000
80,100,73.093023,0.251280,73.043772,73.142274,1386.480000,373.040000,3.077845,0.000000
81,100,73.199092,0.251651,73.149768,73.248415,1404.740000,376.460000,2.999731,0.000000
82,100,73.341256,0.242217,73.293782,73.388731,1421.890000,379.040000,3.336120,0.000000
83,100,73.412387,0.240361,73.365276,73.459498,1437.620000,382.210000,2.995940,0.000000
84,100,73.548314,0.242162,73.500850,73.595777,1455.610000,385.010000,3.245805,0.000000
85,100,73.701649,0.261518,73.650391,73.752906,1475.050000,387.880000,2.899948,0.000000
86,100,73.729456,0.224527,73.685449,73.773464,1492.280000,392.010000,2.855068,0.000000
87,100,73.840621,0.236417,73.794283,73.886959,1510.390000,395.090000,3.091517,0.000000
88,100,73.903474,0.214338,73.861463,73.945484,1523.750000,397.630000,3.020653,0.000000
89,100,74.011551,0.240617,73.964390,74.058712,1539.200000,399.990000,3.066584,0.000000
90,100,74.144534,0.200060,74.105322,74.183746,1560.860000,403.550000,3.141045,0.000000
91,100,74.257787,0.260090,74.206809,74.308764,1580.580000,406.850000,2.938339,0.000000
92,100,74.308771,0.241825,74.261374,74.356169,1593.660000,409.410000,3.253887,0.000000
93,100,74.432012,0.222319,74.388437,74.475586,1613.770000,412.590000,3.181687,0.000000
94,100,74.526163,0.217000,74.483631,74.568695,1629.110000,414.980000,3.351406,0.000000
95,100,74.618991,0.241962,74.571567,74.666416,1649.050000,418.520000,2.999933,0.000000
